Source,Target
MelancholyMan,Gods
MelancholyMan,Sylvans
MelancholyMan,Fauns
MelancholyMan,Dryads
MelancholyMan,Spirits
MelancholyMan,EvilSpirits
MelancholyMan,Apparitions
MelancholyMan,Mahomet
HenpectMan,Devil
HenpectMan,Hermaphrodite
HenpectMan,Monster
HenpectMan,Esau
HuffingCourtier,Spectrum
HuffingCourtier,Atlas
HuffingCourtier,Monster
HuffingCourtier,Jesuit
Antiquary,Saints
Antiquary,Catholics
ProudMan,Damon
ProudMan,Pythias
ProudMan,A Colosse
FifthMonarchyMan,Saints
FifthMonarchyMan,Romulus
FifthMonarchyMan,King Oberon
FifthMonarchyMan,The Devil
FifthMonarchyMan,Aeneas
FifthMonarchyMan,King Author
FifthMonarchyMan,Merlin
FifthMonarchyMan,the Pharisee
FifthMonarchyMan,Whittington
FifthMonarchyMan,Christ
FifthMonarchyMan,Mahomet
FifthMonarchyMan,Turks
FifthMonarchyMan,TheWicked
Ribald,Devil
Ribald,Nature
Lover,Prometheus
Vitner,Christ
Vitner,Jesuit
Vitner,AntiChristianCheat
Quaker,Saints
Quaker,Devil
Quaker,DevilsOracles
Quaker,ScoundrelSaint
Quaker,Pope
Quaker,Presbyterian
Quaker,Demoniacs
Amorist,Angels
Amorist,Parson
Wooer,Cupid
Haranguer,Minister
Haranguer,Fame
PopishPriest,Devil
PopishPriest,Christ
PopishPriest,StPeter
PopishPriest,Prosclyte
PopishPriest,Catholics
PopishPriest,Pope
Catholic,Christian
Catholic,Pope
Catholic,Christ
Catholic,Saints
CuriousMan,TwelveApostles
CuriousMan,StPeter
CuriousMan,Christ
CuriousMan,Judas
Ranter,Christians
Ranter,Hector
Ranter,Devil
Ranter,Angels
Ranter,Saints
imitator,Spectrum
imitator,Spirits
imitator,Nature
imitator,Muse
Alderman,WhoreofBabylon
CorruptJudge,PiousMen
ImpudentMan,Nature
ImpudentMan,Monster
