,Source,Target,Weight,Type
1,Character_Alderman.txt.lnk,Character_Amorist.txt.lnk,3,undirected
2,Character_Alderman.txt.lnk,Character_Antiquary.txt.lnk,3,undirected
3,Character_Alderman.txt.lnk,Character_Astrologer.txt.lnk,2,undirected
4,Character_Alderman.txt.lnk,Character_Bankrupt.txt.lnk,1,undirected
5,Character_Amorist.txt.lnk,Character_Alderman.txt.lnk,3,undirected
6,Character_Amorist.txt.lnk,Character_Amorist.txt.lnk,6,undirected
7,Character_Amorist.txt.lnk,Character_Antiquary.txt.lnk,2,undirected
8,Character_Amorist.txt.lnk,Character_Astrologer.txt.lnk,5,undirected
9,Character_Amorist.txt.lnk,Character_Bankrupt.txt.lnk,4,undirected
10,Character_Amorist.txt.lnk,Character_Catholic.txt.lnk,3,undirected
11,Character_Amorist.txt.lnk,Character_CorruptJudge.txt.lnk,3,undirected
12,Character_Amorist.txt.lnk,Character_CuriousMan.txt.lnk,3,undirected
13,Character_Amorist.txt.lnk,Character_Fantastic.txt.lnk,3,undirected
14,Character_Amorist.txt.lnk,Character_FifthMonarchyMan.txt.lnk,3,undirected
15,Character_Amorist.txt.lnk,Character_Haranguer.txt.lnk,3,undirected
16,Character_Amorist.txt.lnk,Character_HenpectMan.txt.lnk,3,undirected
17,Character_Amorist.txt.lnk,Character_HuffingCourtier.txt.lnk,3,undirected
18,Character_Amorist.txt.lnk,Character_Imitator.txt.lnk,3,undirected
19,Character_Amorist.txt.lnk,Character_ImpudentMan.txt.lnk,3,undirected
20,Character_Amorist.txt.lnk,Character_Lover.txt.lnk,3,undirected
21,Character_Amorist.txt.lnk,Character_MelancholyMan.txt.lnk,3,undirected
22,Character_Amorist.txt.lnk,Character_PopishPriest.txt.lnk,3,undirected
23,Character_Amorist.txt.lnk,Character_ProudMan.txt.lnk,3,undirected
24,Character_Amorist.txt.lnk,Character_Quaker.txt.lnk,3,undirected
25,Character_Amorist.txt.lnk,Character_Quibbler.txt.lnk,3,undirected
26,Character_Amorist.txt.lnk,Character_Ranter.lnk,3,undirected
27,Character_Amorist.txt.lnk,Character_Ribald.lnk,3,undirected
28,Character_Amorist.txt.lnk,Character_Traveller.lnk,3,undirected
29,Character_Amorist.txt.lnk,Character_Vitner.lnk,3,undirected
30,Character_Amorist.txt.lnk,Character_Wooer.lnk,3,undirected
31,Character_Antiquary.txt.lnk,Character_Alderman.txt.lnk,3,undirected
32,Character_Antiquary.txt.lnk,Character_Amorist.txt.lnk,2,undirected
33,Character_Antiquary.txt.lnk,Character_Astrologer.txt.lnk,1,undirected
34,Character_Astrologer.txt.lnk,Character_Alderman.txt.lnk,2,undirected
35,Character_Astrologer.txt.lnk,Character_Amorist.txt.lnk,5,undirected
36,Character_Astrologer.txt.lnk,Character_Antiquary.txt.lnk,1,undirected
37,Character_Astrologer.txt.lnk,Character_Astrologer.txt.lnk,4,undirected
38,Character_Astrologer.txt.lnk,Character_Bankrupt.txt.lnk,3,undirected
39,Character_Astrologer.txt.lnk,Character_Catholic.txt.lnk,2,undirected
40,Character_Astrologer.txt.lnk,Character_CorruptJudge.txt.lnk,2,undirected
41,Character_Astrologer.txt.lnk,Character_CuriousMan.txt.lnk,2,undirected
42,Character_Astrologer.txt.lnk,Character_Fantastic.txt.lnk,2,undirected
43,Character_Astrologer.txt.lnk,Character_FifthMonarchyMan.txt.lnk,2,undirected
44,Character_Astrologer.txt.lnk,Character_Haranguer.txt.lnk,2,undirected
45,Character_Astrologer.txt.lnk,Character_HenpectMan.txt.lnk,2,undirected
46,Character_Astrologer.txt.lnk,Character_HuffingCourtier.txt.lnk,2,undirected
47,Character_Astrologer.txt.lnk,Character_Imitator.txt.lnk,2,undirected
48,Character_Astrologer.txt.lnk,Character_ImpudentMan.txt.lnk,2,undirected
49,Character_Astrologer.txt.lnk,Character_Lover.txt.lnk,2,undirected
50,Character_Astrologer.txt.lnk,Character_MelancholyMan.txt.lnk,2,undirected
51,Character_Astrologer.txt.lnk,Character_PopishPriest.txt.lnk,2,undirected
52,Character_Astrologer.txt.lnk,Character_ProudMan.txt.lnk,2,undirected
53,Character_Astrologer.txt.lnk,Character_Quaker.txt.lnk,2,undirected
54,Character_Astrologer.txt.lnk,Character_Quibbler.txt.lnk,2,undirected
55,Character_Astrologer.txt.lnk,Character_Ranter.lnk,2,undirected
56,Character_Astrologer.txt.lnk,Character_Ribald.lnk,2,undirected
57,Character_Astrologer.txt.lnk,Character_Traveller.lnk,2,undirected
58,Character_Astrologer.txt.lnk,Character_Vitner.lnk,2,undirected
59,Character_Astrologer.txt.lnk,Character_Wooer.lnk,2,undirected
60,Character_Bankrupt.txt.lnk,Character_Alderman.txt.lnk,1,undirected
61,Character_Bankrupt.txt.lnk,Character_Amorist.txt.lnk,4,undirected
62,Character_Bankrupt.txt.lnk,Character_Astrologer.txt.lnk,3,undirected
63,Character_Bankrupt.txt.lnk,Character_Bankrupt.txt.lnk,2,undirected
64,Character_Bankrupt.txt.lnk,Character_Catholic.txt.lnk,1,undirected
65,Character_Bankrupt.txt.lnk,Character_CorruptJudge.txt.lnk,1,undirected
66,Character_Bankrupt.txt.lnk,Character_CuriousMan.txt.lnk,1,undirected
67,Character_Bankrupt.txt.lnk,Character_Fantastic.txt.lnk,1,undirected
68,Character_Bankrupt.txt.lnk,Character_FifthMonarchyMan.txt.lnk,1,undirected
69,Character_Bankrupt.txt.lnk,Character_Haranguer.txt.lnk,1,undirected
70,Character_Bankrupt.txt.lnk,Character_HenpectMan.txt.lnk,1,undirected
71,Character_Bankrupt.txt.lnk,Character_HuffingCourtier.txt.lnk,1,undirected
72,Character_Bankrupt.txt.lnk,Character_Imitator.txt.lnk,1,undirected
73,Character_Bankrupt.txt.lnk,Character_ImpudentMan.txt.lnk,1,undirected
74,Character_Bankrupt.txt.lnk,Character_Lover.txt.lnk,1,undirected
75,Character_Bankrupt.txt.lnk,Character_MelancholyMan.txt.lnk,1,undirected
76,Character_Bankrupt.txt.lnk,Character_PopishPriest.txt.lnk,1,undirected
77,Character_Bankrupt.txt.lnk,Character_ProudMan.txt.lnk,1,undirected
78,Character_Bankrupt.txt.lnk,Character_Quaker.txt.lnk,1,undirected
79,Character_Bankrupt.txt.lnk,Character_Quibbler.txt.lnk,1,undirected
80,Character_Bankrupt.txt.lnk,Character_Ranter.lnk,1,undirected
81,Character_Bankrupt.txt.lnk,Character_Ribald.lnk,1,undirected
82,Character_Bankrupt.txt.lnk,Character_Traveller.lnk,1,undirected
83,Character_Bankrupt.txt.lnk,Character_Vitner.lnk,1,undirected
84,Character_Bankrupt.txt.lnk,Character_Wooer.lnk,1,undirected
85,Character_Catholic.txt.lnk,Character_Amorist.txt.lnk,3,undirected
86,Character_Catholic.txt.lnk,Character_Astrologer.txt.lnk,2,undirected
87,Character_Catholic.txt.lnk,Character_Bankrupt.txt.lnk,1,undirected
88,Character_CorruptJudge.txt.lnk,Character_Amorist.txt.lnk,3,undirected
